iter	Passed	Remaining
403	8544	12604
404	8563	12580
405	8582	12556
406	8600	12531
407	8618	12505
408	8636	12479
409	8655	12455
410	8674	12431
411	8692	12406
412	8711	12381
413	8728	12355
414	8748	12331
415	8765	12305
416	8784	12281
417	8803	12258
418	8823	12234
419	8842	12210
420	8861	12187
421	8881	12164
422	8902	12143
423	8921	12119
424	8940	12095
425	8963	12077
426	8983	12054
427	9013	12045
428	9035	12026
429	9056	12005
430	9077	11984
431	9100	11964
432	9124	11948
433	9149	11932
434	9176	11918
435	9198	11898
436	9223	11883
437	9246	11863
438	9267	11843
439	9291	11825
440	9312	11804
441	9334	11783
442	9356	11764
443	9378	11743
444	9400	11723
445	9426	11708
446	9453	11695
447	9477	11678
448	9501	11659
449	9529	11647
450	9556	11633
451	9578	11613
452	9606	11600
453	9629	11581
454	9655	11565
455	9678	11546
456	9702	11528
457	9725	11508
458	9746	11487
459	9768	11467
460	9790	11447
461	9810	11424
462	9830	11402
463	9851	11379
464	9870	11356
465	9890	11334
466	9909	11310
467	9931	11289
468	9950	11266
469	9971	11244
470	9992	11222
471	10017	11205
472	10038	11184
473	10058	11162
474	10081	11142
475	10105	11124
476	10131	11109
477	10155	11090
478	10181	11074
479	10206	11056
480	10233	11042
481	10257	11023
482	10283	11007
483	10308	10989
484	10333	10972
485	10358	10954
486	10381	10936
487	10404	10916
488	10428	10897
489	10449	10875
490	10475	10859
491	10498	10840
492	10521	10820
493	10543	10799
494	10563	10776
495	10584	10755
496	10602	10730
497	10623	10708
498	10642	10685
499	10662	10662
500	10679	10637
501	10700	10614
502	10721	10593
503	10742	10571
504	10760	10547
505	10780	10524
506	10798	10500
507	10816	10476
508	10835	10452
509	10856	10430
510	10874	10406
511	10894	10383
512	10912	10359
513	10930	10335
514	10949	10311
515	10967	10287
516	10986	10264
517	11005	10240
518	11028	10220
519	11046	10196
520	11064	10172
521	11083	10148
522	11101	10125
523	11119	10101
524	11138	10077
525	11159	10055
526	11178	10032
527	11196	10008
528	11215	9985
529	11233	9961
530	11251	9937
531	11269	9914
532	11289	9891
533	11308	9868
534	11327	9845
535	11350	9825
536	11373	9806
537	11393	9784
538	11418	9765
539	11441	9746
540	11462	9725
541	11487	9707
542	11510	9687
543	11531	9665
544	11553	9645
545	11577	9626
546	11597	9604
547	11617	9582
548	11636	9559
549	11657	9537
550	11677	9515
551	11697	9493
552	11717	9471
553	11738	9450
554	11761	9430
555	11784	9410
556	11807	9390
557	11827	9368
558	11850	9348
559	11873	9329
560	11898	9310
561	11922	9291
562	11942	9269
563	11963	9248
564	11983	9226
565	12004	9204
566	12023	9181
567	12042	9159
568	12065	9139
569	12084	9116
570	12103	9093
571	12124	9072
572	12144	9050
573	12165	9028
574	12185	9006
575	12204	8984
576	12224	8961
577	12246	8941
578	12264	8917
579	12283	8894
580	12304	8873
581	12322	8850
582	12341	8827
583	12359	8803
584	12376	8780
585	12394	8756
586	12410	8731
587	12424	8705
588	12442	8682
589	12460	8659
590	12479	8636
591	12495	8611
592	12510	8586
593	12528	8563
594	12547	8541
595	12567	8518
596	12586	8496
597	12605	8473
598	12623	8451
599	12639	8426
600	12656	8402
601	12673	8378
602	12695	8358
603	12713	8335
604	12731	8312
605	12755	8293
606	12778	8273
607	12799	8252
608	12821	8232
609	12841	8210
610	12861	8188
611	12881	8166
612	12901	8145
613	12922	8123
614	12943	8102
615	12958	8077
616	12972	8052
617	12990	8029
618	13006	8005
619	13022	7981
620	13040	7958
621	13058	7935
622	13073	7911
623	13089	7887
624	13108	7865
625	13127	7842
626	13146	7820
627	13166	7799
628	13185	7777
629	13200	7752
630	13219	7730
631	13238	7708
632	13258	7686
633	13277	7664
634	13297	7643
635	13315	7620
636	13334	7598
637	13353	7576
638	13373	7555
639	13392	7533
640	13407	7509
641	13425	7486
642	13439	7462
643	13455	7438
644	13471	7414
645	13488	7391
646	13508	7370
647	13527	7348
648	13542	7324
649	13557	7300
650	13572	7276
651	13588	7252
652	13603	7228
653	13620	7205
654	13637	7183
655	13657	7161
656	13674	7139
657	13694	7117
658	13714	7096
659	13729	7072
660	13745	7049
661	13762	7026
